"name","location","gps_coordinates","max_radioactivity","source_url","reading_source"
"Johanngeorgenstadt Friedrich-August-Stollen","Johanngeorgenstadt Friedrich-August-Stollen","50.447627,12.729794","4 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,408.0.html","text"
"Johanngeorgenstadt, Wittigsthalstraße","Johanngeorgenstadt, Wittigsthalstraße","50.430691,12.73113","0.3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1178.0.html",""
"Kali-Bergwerk Sondershausen (Besucherbergwerk)","Kali-Bergwerk Sondershausen (Besucherbergwerk)","51.389366,10.838670","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1769.0.html","text"
"Karolastraße in Plauen","Karolastraße in Plauen","50.50785,12.138675","0.7 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,357.0.html","text"
"Karten der weltweiten Uran- und Thorium-Vorkommen","Karten der weltweiten Uran- und Thorium-Vorkommen","48.2342529,16.4169882","0.3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1390.0.html","text"
"KIT Campus Nord (Karlsruhe)","KIT Campus Nord (Karlsruhe)","49.090728,8.428539","0.15 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,719.0.html","text"
"KKW Lubmin","KKW Lubmin","54.099890,13.695756","-","https://www.geigerzaehlerforum.de/index.php/topic,45.0.html",""
"KKW Rheinsberg","KKW Rheinsberg","53.144494,12.9545","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,398.0.html","text"
"Kkw Saporischschja / Ukraine","Kkw Saporischschja / Ukraine","47.850786,35.118287","-","https://www.geigerzaehlerforum.de/index.php/topic,1606.0.html",""
"Königstein/Wismutgelände","Königstein/Wismutgelände","50.195133,8.462817","2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,678.0.html","text"
"Kont. Kontrollen an Sperrzone Tschernobyl.","Kont. Kontrollen an Sperrzone Tschernobyl.","51.3076238,29.8984972","-","https://www.geigerzaehlerforum.de/index.php/topic,783.0.html",""
"Kristallgrotte im Erlebnisbergwerk Merkers","Kristallgrotte im Erlebnisbergwerk Merkers","50.8241612,10.1176283","0.7 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1082.0.html","text"
"Las Vegas, Test Side, Museum, Downwinders","Las Vegas, Test Side, Museum, Downwinders","26.978483,-80.216202","-","https://www.geigerzaehlerforum.de/index.php/topic,2661.0.html",""
"Lengenfeld Polenzstraße","Lengenfeld Polenzstraße","50.570601,12.38103","0.2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1177.0.html",""
"Lermontovskoe U-Lagerstätte","Lermontovskoe U-Lagerstätte","44.081612,43.005623","20 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1022.0.html",""
"Letzter Schacht der Wismut wird mit Beton verschlossen.  Stand: 20. April 2023.","Letzter Schacht der Wismut wird mit Beton verschlossen.  Stand: 20. April 2023.","15.421538,36.363258","-","https://www.geigerzaehlerforum.de/index.php/topic,1643.0.html",""
"Lindau","Lindau","54.384645,9.903427","0.2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2969.0.html",""
"Lomnický Štít - Hohe Tatra","Lomnický Štít - Hohe Tatra","49.195143,20.213033","4.289 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1733.0.html","text"
"Lüneburg - Kleine Bäckerstraße","Lüneburg - Kleine Bäckerstraße","53.247823,10.408994","0.4 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1198.0.html","text"
"Maria Skłodowska-Curie Museum Warschau/Polen","Maria Skłodowska-Curie Museum Warschau/Polen","52.251531,21.00852","-","https://www.geigerzaehlerforum.de/index.php/topic,2849.0.html",""
"Mecklenburg Vorpommern. Rostocker Museumshafen","Mecklenburg Vorpommern. Rostocker Museumshafen","54.099274,13.386221","0.6 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2999.0.html",""
"Mehlinger Heide: Uranmunition?","Mehlinger Heide: Uranmunition?","49.487417,7.830513","-","https://www.geigerzaehlerforum.de/index.php/topic,1607.0.html",""
"Mehr als 6 Stunden zu Fuß durch die Zone, Video 8K, 2020","Mehr als 6 Stunden zu Fuß durch die Zone, Video 8K, 2020","39.256484,-105.103412","-","https://www.geigerzaehlerforum.de/index.php/topic,2431.0.html",""
"Menzenschwand Krunkelbach","Menzenschwand Krunkelbach","47.838313,8.050429","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1007.0.html","text"
"Mittenwald","Mittenwald","47.441778,11.261429","0.4 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2686.0.html",""
"Münstertal","Münstertal","46.6685,10.531607","0.28","https://www.geigerzaehlerforum.de/index.php/topic,3161.0.html",""
"Musée Curie, Paris/Frankreich","Musée Curie, Paris/Frankreich","48.844238,2.344791","3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1929.0.html",""
"Museum Uranbergbau in Bad Schlema","Museum Uranbergbau in Bad Schlema","50.600071,12.67476","50 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2384.0.html","text"
"Naturhistorisches Museum Wien","Naturhistorisches Museum Wien","48.205269,16.359755","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2893.0.html","text"
"Neues Kernenergiemuseum nahe Prag","Neues Kernenergiemuseum nahe Prag","50.0864234,14.4156772","-","https://www.geigerzaehlerforum.de/index.php/topic,3115.0.html",""
"Neutronenquelle in Berlin Karlshorst","Neutronenquelle in Berlin Karlshorst","52.482451,13.533062","-","https://www.geigerzaehlerforum.de/index.php/topic,3150.0.html",""
"Nuklearunfall von Palomares (Spanien)","Nuklearunfall von Palomares (Spanien)","37.244021,-1.812965","-","https://www.geigerzaehlerforum.de/index.php/topic,1028.0.html",""
"ODL Großherrischwand","ODL Großherrischwand","47.681354,8.007872","-","https://www.geigerzaehlerforum.de/index.php/topic,2477.0.html",""
"Oranienburg","Oranienburg","52.743001,13.222016","70 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,168.0.html","text"
"ORF-Doku: Die unsichtbare Gefahr - Willkommen in Tschernobyl","ORF-Doku: Die unsichtbare Gefahr - Willkommen in Tschernobyl","49.282569,7.118741","-","https://www.geigerzaehlerforum.de/index.php/topic,335.0.html",""
"Örsi-Hügel, Balaton, Ungarn","Örsi-Hügel, Balaton, Ungarn","46.813132,17.527842","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,3036.0.html","text"
"Osjorsk-Kyschtym-Kombinat Majak-Tetscha-Karatschai See-","Osjorsk-Kyschtym-Kombinat Majak-Tetscha-Karatschai See-","54.8560272,57.1402678","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1066.0.html","text"
"Österreich - Waldviertel","Österreich - Waldviertel","48.500856,15.381228","0.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,878.0.html","text"
"Österreich: Bodenbelastung durch Cs-137.","Österreich: Bodenbelastung durch Cs-137.","52.335451,5.316374","-","https://www.geigerzaehlerforum.de/index.php/topic,1915.0.html",""
"OT: Radium Palace als hotel?","OT: Radium Palace als hotel?","37.279397,14.992366","-","https://www.geigerzaehlerforum.de/index.php/topic,796.0.html",""
"Oybin","Oybin","50.842086,14.74301","-","https://www.geigerzaehlerforum.de/index.php/topic,3045.0.html",""
"Palaisplatz in Dresden","Palaisplatz in Dresden","51.060951,13.739162","0.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2287.0.html","text"
"Polizeifachschule Schneeberg/Erzgebirge","Polizeifachschule Schneeberg/Erzgebirge","50.574607,12.622817","-","https://www.geigerzaehlerforum.de/index.php/topic,3118.0.html",""
"Pribram","Pribram","49.690144,14.010366","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,321.0.html","text"
"Privates Mineralienmuseum in Mähring","Privates Mineralienmuseum in Mähring","-23.781356,-53.335289","167","https://www.geigerzaehlerforum.de/index.php/topic,2911.0.html",""
"Quellen des Fallouts zwischen 1960 und 2009 in sechs EU-Ländern","Quellen des Fallouts zwischen 1960 und 2009 in sechs EU-Ländern","50.596412,6.676813","-","https://www.geigerzaehlerforum.de/index.php/topic,1891.0.html",""
"Quellen mit Uran, Radium und Radon","Quellen mit Uran, Radium und Radon","50.04988,12.56552","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1765.0.html","text"
"Radioaktive Schwermineralsände am Strand von L`Espiguette (Camargue, Frankreich)","Radioaktive Schwermineralsände am Strand von L`Espiguette (Camargue, Frankreich)","45.350509050307856,36.46982817211595","1.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1231.0.html",""
